epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26436.6,0.52995,0.4072,1.08992,0.99077,0.97955,0.99382,0.91198,0.45131,0.24875,0.91897,0.000848969,0.000848969,0.000848969
43,27104.4,0.53612,0.40033,1.0984,0.98397,0.97477,0.99312,0.91334,0.42005,0.27025,0.89688,0.000834822,0.000834822,0.000834822
44,27675.2,0.53988,0.3983,1.10143,0.98773,0.97176,0.99179,0.91277,0.44499,0.2619,0.91145,0.000820675,0.000820675,0.000820675
45,28263.2,0.53498,0.38702,1.09157,0.98862,0.97375,0.99324,0.92097,0.40431,0.25937,0.89491,0.000806528,0.000806528,0.000806528
46,28787.1,0.53426,0.38689,1.09631,0.9951,0.97082,0.99245,0.92311,0.40532,0.24105,0.89189,0.00079238,0.00079238,0.00079238
47,29369,0.5292,0.37594,1.09252,0.99343,0.9747,0.99325,0.93392,0.38605,0.24069,0.87791,0.000778233,0.000778233,0.000778233
48,30009.9,0.51949,0.36867,1.08358,0.99518,0.97579,0.99318,0.92773,0.40451,0.2506,0.89505,0.000764086,0.000764086,0.000764086
49,30554.3,0.52898,0.37426,1.09322,0.99136,0.97519,0.99362,0.92807,0.38195,0.23454,0.86546,0.000749939,0.000749939,0.000749939
50,31201.4,0.51466,0.37165,1.08252,0.98843,0.97071,0.99341,0.92207,0.40112,0.26691,0.87742,0.000735792,0.000735792,0.000735792
51,31839,0.51136,0.37132,1.08196,0.96598,0.95684,0.98978,0.92524,0.40065,0.28184,0.88247,0.000721645,0.000721645,0.000721645
52,32494.5,0.5088,0.35913,1.08055,0.99086,0.97132,0.99136,0.91072,0.43486,0.26628,0.90977,0.000707498,0.000707498,0.000707498
53,33134.6,0.5185,0.35702,1.08526,0.99216,0.97551,0.99076,0.92775,0.40057,0.24905,0.88215,0.000693351,0.000693351,0.000693351
54,33761.9,0.49905,0.34387,1.06904,0.98285,0.97744,0.99247,0.93623,0.37362,0.23275,0.85225,0.000679204,0.000679204,0.000679204
